layer,foundation_model,family,subfamily,tumor_type,endpoint,source,n,positive,negative,seed,saved_current_balanced_accuracy,recomputed_primary_balanced_accuracy,primary_sensitivity,primary_specificity,primary_auc,primary_pr_auc,equal_prior_balanced_accuracy,equal_prior_sensitivity,equal_prior_specificity,equal_prior_auc,equal_prior_pr_auc,optimized_balanced_accuracy,optimized_sensitivity,optimized_specificity,optimized_auc,optimized_pr_auc,current_crossing,current_candidate,recomputed_primary_crossing,equal_prior_crossing,optimized_crossing,median_primary_component,median_equal_component,median_optimized_component,median_optimized_threshold,primary_components_at_ceiling,equal_components_at_ceiling,optimized_components_at_ceiling,equal_prior_delta_ba,optimized_delta_ba,primary_reproduction_delta,near_threshold,baseline_crossing,union_positive,optimized_membership_change,equal_prior_membership_change,fastPLS_version,fastPLS_remote_sha
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,ACC,Genome doubling,Taylor2018_TableS2,54,28,26,20260836,0.497252747252747,0.497252747252747,0.571428571428571,0.423076923076923,0.495879120879121,0.533437041910253,0.497252747252747,0.571428571428571,0.423076923076923,0.495879120879121,0.533437041910253,0.46978021978022,0.285714285714286,0.653846153846154,0.526098901098901,0.549256559206259,FALSE,FALSE,FALSE,FALSE,FALSE,5,5,5,7.47337950953606,0,0,0,0,-0.0274725274725275,2.77555756156289e-16,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,BLCA,Genome doubling,Taylor2018_TableS2,376,228,148,20260822,0.708748221906117,0.708748221906117,0.802631578947369,0.614864864864865,0.75373399715505,0.787226646693928,0.691915599810337,0.714912280701754,0.668918918918919,0.752607871028924,0.795677579049926,0.712956377430062,0.824561403508772,0.601351351351351,0.752370791844476,0.796721620712341,TRUE,TRUE,TRUE,TRUE,TRUE,5,5,6,-0.246699491114202,0,0,0,-0.0168326220957801,0.00420815552394482,-2.22044604925031e-16,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,BRCA,Genome doubling,Taylor2018_TableS2,998,438,560,20260828,0.71249184605349,0.71249184605349,0.639269406392694,0.785714285714286,0.784059034572733,0.712769611612332,0.709825505544684,0.680365296803653,0.739285714285714,0.775990704500979,0.703700349575854,0.705328604044358,0.737442922374429,0.673214285714286,0.770519406392694,0.695010053564207,TRUE,TRUE,TRUE,TRUE,TRUE,6,5,4,-0.575486882123133,0,0,0,-0.00266634050880632,-0.00716324200913243,-1.11022302462516e-16,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,CESC,Genome doubling,Taylor2018_TableS2,259,85,174,20260826,0.605172413793103,0.605172413793103,0.4,0.810344827586207,0.618931710615281,0.408429063877831,0.641954022988506,0.6,0.683908045977011,0.671264367816092,0.457193169460412,0.60814739688979,0.658823529411765,0.557471264367816,0.667004732927654,0.451691961888206,TRUE,TRUE,TRUE,TRUE,TRUE,5,5,3,-0.990373621974657,0,0,0,0.0367816091954023,0.00297498309668698,3.33066907387547e-16,TRUE,TRUE,TRUE,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,COAD,Genome doubling,Taylor2018_TableS2,408,165,243,20260829,0.665282454171343,0.665282454171343,0.593939393939394,0.736625514403292,0.726599326599327,0.65841237201552,0.690160867938646,0.684848484848485,0.695473251028807,0.746701583738621,0.671228174173202,0.687991021324355,0.696969696969697,0.679012345679012,0.747823918194289,0.67519345178933,TRUE,TRUE,TRUE,TRUE,TRUE,6,6,5,-0.277552392094164,0,0,0,0.0248784137673026,0.0227085671530116,1.11022302462516e-16,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,ESCA,Genome doubling,Taylor2018_TableS2,136,79,57,20260823,0.470464135021097,0.470464135021097,0.607594936708861,0.333333333333333,0.506329113924051,0.607133986218315,0.543082389518099,0.59493670886076,0.491228070175439,0.528314457028648,0.614185731311519,0.518765267599378,0.493670886075949,0.543859649122807,0.508327781479014,0.610550622688337,FALSE,FALSE,FALSE,FALSE,FALSE,7,3,12,0.368568225943792,0,0,0,0.0726182544970019,0.0483011325782812,5.55111512312578e-17,FALSE,FALSE,FALSE,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,GBM,Genome doubling,Taylor2018_TableS2,362,46,316,20260816,0.558269124931205,0.558269124931205,0.195652173913043,0.920886075949367,0.622179416620804,0.229958052780758,0.550082553659879,0.391304347826087,0.708860759493671,0.554279031370391,0.181085291718779,0.590327462850853,0.652173913043478,0.528481012658228,0.636007154650523,0.224048100812247,FALSE,FALSE,FALSE,FALSE,FALSE,12,2,2,-2.67207783871023,0,0,0,-0.00818657127132638,0.0320583379196477,3.33066907387547e-16,TRUE,FALSE,FALSE,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,HNSC,Genome doubling,Taylor2018_TableS2,435,176,259,20260832,0.601351351351351,0.601351351351351,0.5,0.702702702702703,0.643844331344331,0.539765113367752,0.590711653211653,0.602272727272727,0.579150579150579,0.639018076518077,0.542344811919245,0.595483064233064,0.607954545454545,0.583011583011583,0.653080028080028,0.557323692391039,TRUE,TRUE,TRUE,FALSE,FALSE,4,4,4,-0.350551259285939,0,0,0,-0.0106396981396981,-0.00586828711828713,3.33066907387547e-16,TRUE,TRUE,TRUE,TRUE,TRUE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,KIRC,Genome doubling,Taylor2018_TableS2,464,89,375,20260831,0.553782771535581,0.553782771535581,0.280898876404494,0.826666666666667,0.645513108614232,0.288928957005891,0.596239700374532,0.48314606741573,0.709333333333333,0.62714606741573,0.294366800200348,0.66459925093633,0.707865168539326,0.621333333333333,0.647101123595506,0.291185442856289,FALSE,FALSE,FALSE,FALSE,TRUE,15,5,1,-1.67197938443031,0,0,0,0.0424569288389514,0.110816479400749,-4.44089209850063e-16,TRUE,FALSE,TRUE,TRUE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
TITAN permutation/FDR screen,TITAN,aneuploidy,aneuploidy,LGG,Genome doubling,Taylor2018_TableS2,481,157,324,20260835,0.556430368797672,0.556430368797672,0.356687898089172,0.756172839506173,0.57906739010773,0.384666567091601,0.560037744751121,0.490445859872612,0.62962962962963,0.579047731383188,0.398241886945398,0.570574821105607,0.573248407643312,0.567901234567901,0.592789179838012,0.387132736235491,FALSE,FALSE,FALSE,FALSE,FALSE,11,10,2,-0.893284013421376,0,0,0,0.00360737595344818,0.0141444523079343,3.33066907387547e-16,TRUE,FALSE,FALSE,FALSE,FALSE,0.3,b518f75285c387632c2443a0c0989d75c9dcda48
